review_body,stars,product_category
Mini usb cable de carga defectuoso por lo cual se estropearon los usb de las baterias,3,toy
El cable es muy largo y es comodo pero me duró poco tiempo porque el conector microusb se me acabó doblando,2,wireless
Ideal para mis necesidades.,4,home
"Es desigual el color, y mancha. El hilo de rompe con demasiada facilidad y yo creo que viene de menos.",2,home
Los comentarios se hacen cuando uno recibe la mercancía. antes de recibirla es imposible si llega el lunes serán 5 días de retraso,1,watch
"Después de estar esperando a que me envíen el producto 1 mes, me indican que no tienen stock y me devuelven el dinero. Y digo yo....si no tienen para que narices lo ponen a la venta? Impresentables estos chinos que por ahorrarnos unos € luego pasa lo que pasa.",1,pet_products
"Al parecer es un tratamiento a largo plazo, dos meses descansar uno, o dos y dos. La ingesta de más producto no beneficia más, el organismo lo elimina mediante la orina. Si lleva todo lo que dice, beneficioso será. Yo personalmente he notado mejoría, pero lo cierto es que también he retomado la actividad física (bici y gimnasio) que tenía abandonada hace tiempo, y eso también ayuda a encontrarse mejor. Es mi primer bote y le daré oportunidad. Repetiré. Un saludo!!!",4,drugstore
se adapta a mis necesidades,5,camera
"Más pequeño de lo que pensaba, pero estoy muy contenta con el producto",4,toy
"El producto nunca me llegó, no lo he podido probar. Cuando hice el pedido había stock pero una vez pagado me dijeron que se había agotado",1,automotive
Sienta muy bien. Pero el tejido es bastante malo. Le salen bolitas en el primer lavado...,2,apparel
"Muy práctica y fácil de instalar, he comprado una segunda cámara y seguramente compraré alguna mas.",4,home_improvement
"Me gusta la fuerza que tiene,tanto para picar como para hacer taladros.No sirve para taladros delicados porque oscila un poco el cabezal,,pero si para paredes duras o cochera para poner estantes ,por ejemplo. Si que se calienta mucho si le metes caña,pero para un poco y caña de nuevo sin problema. Calidad precio estupendas.",5,home_improvement
Es lo que esperaba de una funda para el móvil,3,wireless
Funciona bastante bien pero es poco el producto en si.Me lo acabé en una pasada.Podrian haber puesto un recipiente mas grande para el precio que tiene.,3,automotive
"Son demasiado grandes, serían ideales para sillas de diseño con el respaldo muy alto y asiento estrecho. Todo lo demás lo cumple, anti manchas, color igual que la Foto..",3,home
"El cable es grueso y parece bien fijado a las pinzas, que son enormes. La longitud NO es la descrita en el producto, si no 3,60 m incluyendo pinzas. Los mangos de cauchos de las pinzas se han salido de su sitio 3 de los 4. Se vuelven a meter y se aprietan, pero es un fallo de acabado. No volvería a comprar.",3,automotive
"Es un champú, que para ser sin sulfatos, hace una espuma suave y no deja el pelo estropajoso. Huele muy bien, a fresco, cítricos, pero suave. Este champú si que tiene sal, así que no se si debe ir muy bien para después de tratamiento de keratina.",5,beauty
Simplemente No las compréis,1,home
"Buena calidad, acabado metálico y da el pego que a fin de cuentas es de lo que se trata. Buena compra",5,electronics
"Es muy bonito y fino. Y la verdad q, está muy bien la calidad y precio. Muy conténta con la compra.",5,jewelry
No puedo opinar sobre él porque todavía no ha llegado.......,1,home
"Mi sorpresa fué que el repartidor de seur, y yo viviendo en un edificio, me dice cuando me ve que no traía ayudante y por lo tanto no lo iba a subir. Me dijo que no le pagaban para subirlo, solo hasta la puerta del edificio. Esta cama pesa alrededor de 40 kilos y para subirla solo por la escalera me las vi negras. Llamé a Amazón y me dijeron que el transporte es hasta la puerta del piso. No sé, la cuestión que terminé tomando paracetamol para aliviar los dolores.",1,furniture
"La he comprado para una acústica que mide 103 cm de alta y 40 cm de ancha, sobra muy poco, 2 o 3 cm mas de guitarra y quedaría muy justa. El acolchado normal, para mí suficiente. Las asas para colgartela en la espalda podría estar acolchadas, se trata de un par de cintas simplemente.",4,musical_instruments
"El producto viene sin su embalaje original y envuelto en una simple bolsa de plástico, parece un artículo de imitación o usado.",1,toy
No se porque aun es tan dificil hacer protectores para los S8 y los Note. Esto es lo peor que he visto.,1,wireless
A mi hija le encantaba y empezó a aprender a girar la manivela pero después de 3 semanas dejó de sonar. Ha perdido todo el encanto. Ahora hay que abrir la puerta para que el muñeco aparezca. Se hizo un uso moderado del mismo.. . No entiendo como duro tan poco.,1,toy
"Es de peor calidad y menos resistente que la original, pero cumple su función.",4,sports
"Un poco pequeña, pero bastante bonita.",5,toy
"Buen producto con diseño bonito, manejable y sencillo. Aunque con bastantes deficiencias, con la luz solar no se ve aunque esté al máximo. Las notificaciones de wasap solo se leen los primeros 13 caracteres y el primer mensaje. No cumple con lo descrito en las características.",2,sports
"Es cierto que pierde adherencia en seguida y que es de un solo uso, pero por el precio que tiene no me puedo quejar. Cumple su función.",4,wireless
Todo perfecto pero una durabilidad muy pobre ya que menos de un año se ha roto la batería y no tengo respuesta del vendedor...,1,camera
"No me han gustado nada.no las he podido usar son muy pequeñas.Normalmente uso una talla 40/42 y no me entraban, la enfermera me las cortó en un lateral aún así quedaban muy prietas e incómodas. Las de esta misma marca pero de rejilla si son comodas",1,baby_product
Compre este producto y me llego a casa un parche para la ropa,1,pc
Está muy chula aunque se le rompió un enganche con la primera puesta .lo tuve que coser a la fuerza,3,luggage
"Utilizo placa de inducción (Siemens) y cuál no sería mi sorpresa con esta parrilla que sólo puedo usarla en la zona circular que mide exactamente igual a la base circular de la parrilla, 18 cm. Si quiero ponerla en otra zona más grande (solo 2 centímetros más, o sea, 20 cm), no funciona, cosa rarísima, pues absolutamente todos los utensilios que tengo para inducción puedo ponerlos en zonas más grandes sin ningún problema. Además tarda mucho en calentarse. ¿Alguien podría decirme el motivo? Por favor, Amazon... No puedo preguntarlo al fabricante en este caso...",3,home
Compra rechazada y anulada por la pésima gestión de entrega (inexistente) por parte de DHL. Muy decepcionado. Nada probable un nuevo intento.,1,electronics
"Sustituye los ambientadores en spray que tenía en casa. Cada día un aroma distinto. Funciona a la perfección. Lo enchufas, lo programas y te olvidas.",4,home
"No encaja en las patillas de mis gafas, así que una compra inútil. Solo apto para algunas gafas",1,personal_care_appliances
Yo le devolví porque era muy pequeño para mi,2,home
"El producto ha llegado en perfectas condiciones, pero es una lástima porque no cubre toda la pantalla del Samsung Galaxy J5 2017. Los lados de la pantalla quedan sin cristal. Pensaba que iba a ser un cristal que cubriría toda la pantalla.",2,wireless
Cumple con la descripción,5,home
"la carcasa es muy opaca, no un poco, y el plástico protector para el teclado es extremadamente opaco, tengo otro de otro fabricante y basta ver la diferencia. Muy mal con la descripción de si es traslúcido o no, una lastima.",2,pc
"Muy bonitos Zapatos muy bonitos, son como los que el fabricante indica. Tardaron dos semanas en su entrega. Pero recomendable. Son muy bonitos",4,baby_product
"Está muy bin que se coloquen de forma anatómica y mejora la comodidad y el sonido. COmo pate más negativa, la caa para guardar los audífonos es complicada y no fácil de quedar como en principio viene",4,electronics
"No es eléctrico y cuando pasa el tren suena sí, pero muy bajito. A mi hijo le encanta igualmente y a mí el hecho que no sea eléctrico es un punto a su favor.",4,toy
Todo ha ido muy bien. Llegó en tienpo y en buen estado. Recomendable. Empresa muy seria. No dudéis en comprar.,4,baby_product
Llego en la fecha prevista y es tal como aparece en la foto. A pesar de tener dos opcions diferentes ( una de diámetro más pequeño y otra más grande) en las manillas de las puerta de mi casa no entra. A pesar de calentarlo con agua caliente no se dilata lo suficiente...,2,home
Hola es Justo lo que dice cumple a la perfeccion muy buen aparato lo recomiendo a todos sin objecion ok,5,automotive
No me a gustado nada instrucciones y el sonido en otro idioma no me da sensación de esterilizar .,2,beauty
La textura es muy buena,5,home
Llego antes de lo previsto Muy suave Tamaño correcto Me llegó como un paquete de correos ordinario,5,toy
"Yo la he usado para que los niños no puedan acercarse demasiado a la chimenea. Está muy bien pero ocupa mucho espacio, por lo que si el salón no es muy grande yo me lo pensaría.",4,baby_product
"Me gustan bastante, aunque la calidad es un poco baja para lo que se espera de una baraja así. También he echado de menos que viniera con el libro de instrucciones (pues solamente vienen las cartas pero sin el libro). Por lo demás están muy bien y son preciosas!",5,book
Falta la funda para protegerla de la lluvia. Espero recibirla cuanto antes,2,camera
"Contento, son más bonitos que en la foto. Buenos acabados con todo detalle. Los recomiendo. Los cajones, botones, compartimentos y cerradura están hechos con buen gusto.",5,furniture
"El formato es peor de lo que me imaginaba, van envueltas en un sobre papel que ya apareció roto en cuanto lo abrí. No lo volvería a comprar, me iría a la versión de caja de plástico sin ninguna duda.",3,other
